"REF_DATE","GEO","DGUID","Custodial and community supervision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","22318.5","","","","1"
"2023/2024","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","25349.8","","","","1"
"1978/1979","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","10428.0","","","","1"
"1979/1980","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","10393.0","","","","1"
"1980/1981","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","10832.0","","","","1"
"1981/1982","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","11950.0","","","","1"
"1982/1983","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","13608.0","","","","1"
"1983/1984","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","13283.0","","","","1"
"1984/1985","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","13467.0","","","","1"
"1985/1986","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","12690.0","","","","1"
"1986/1987","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","12076.0","","","","1"
"1987/1988","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","12071.0","","","","1"
"1988/1989","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","12181.0","","","","1"
"1989/1990","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","12986.0","","","","1"
"1990/1991","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","13170.0","","","","1"
"1991/1992","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","13925.0","","","","1"
"1992/1993","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","14135.0","","","","1"
"1993/1994","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","14252.0","","","","1"
"1994/1995","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","14317.0","","","","1"
"1995/1996","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","14240.5","","","","1"
"1996/1997","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","13523.1","","","","1"
"1997/1998","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","12574.1","","","","1"
"1998/1999","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","12476.9","","","","1"
"1999/2000","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","11400.3","","","","1"
"2000/2001","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","10914.6","","","","1"
"2001/2002","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","10900.6","","","","1"
"2002/2003","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","10555.0","","","","1"
"2003/2004","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","9851.1","","","","1"
"2004/2005","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","9691.5","","","","1"
"2005/2006","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","9476.2","","","","1"
"2006/2007","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","9982.7","","","","1"
"2007/2008","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","9799.3","","","","1"
"2008/2009","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","9931.2","","","","1"
"2009/2010","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","10045.1","","","","1"
"2010/2011","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","10921.6","","","","1"
"2011/2012","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","11137.6","","","","1"
"2012/2013","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","11137.7","","","","1"
"2013/2014","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","9888.0","","","","1"
"2014/2015","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","10363.6","","","","1"
"2015/2016","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","10091.4","","","","1"
"2016/2017","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","9709.7","","","","1"
"2017/2018","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","9545.2","","","","1"
"2018/2019","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","8708.2","","","","1"
"2019/2020","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","7946.7","","","","1"
"2020/2021","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","5881.2","","","","1"
"2021/2022","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","5798.3","","","","1"
"2022/2023","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","5915.7","","","","1"
"2023/2024","Provinces and Territories","2021A000011124","Sentenced, actual-in count","Persons","249","units","0","v21536798","1.2","5895.1","","","","1"
"1978/1979","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","3030.0","","","","1"
"1979/1980","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","2948.0","","","","1"
"1980/1981","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","2997.0","","","","1"
"1981/1982","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","3144.0","","","","1"
"1982/1983","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","3497.0","","","","1"
"1983/1984","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","3248.0","","","","1"
"1984/1985","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","3304.0","","","","1"
"1985/1986","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","3424.0","","","","1"
"1986/1987","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","3674.0","","","","1"
"1987/1988","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","3965.0","","","","1"
"1988/1989","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","4202.0","","","","1"
"1989/1990","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","4701.0","","","","1"
"1990/1991","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","4713.0","","","","1"
"1991/1992","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","4947.0","","","","1"
"1992/1993","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","5111.0","","","","1"
"1993/1994","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","5130.0","","","","1"
"1994/1995","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","5327.0","","","","1"
"1995/1996","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","5266.0","","","","1"
"1996/1997","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","5734.1","","","","1"
"1997/1998","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","6109.0","","","","1"
"1998/1999","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","6490.5","","","","1"
"1999/2000","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","6660.6","","","","1"
"2000/2001","Provinces and Territories","2021A000011124","Remand, actual-in count","Persons","249","units","0","v21536799","1.3","7401.4","","","","1"
